employee_id,age,years_experience,education_level,job_role,city_tier,performance_score,num_skills,remote_work,annual_salary_usd
EMP0044,46,26,PhD,Software Engineer,1,4.4,9,1,185233.19
EMP0045,41,20,Bachelor,Data Analyst,3,2.6,7,1,134874.06
EMP0046,39,17,PhD,QA Engineer,3,3,2,0,111138.71
EMP0047,38,17,Master,Data Analyst,1,3.8,7,1,135184.2
EMP0048,29,6,Bachelor,Product Manager,1,4.1,2,0,109283.9
EMP0049,45,22,High School,QA Engineer,2,3.9,12,0,148011.42
EMP0050,41,18,Master,DevOps,3,2.9,4,0,117280.28
EMP0051,48,25,Bachelor,ML Engineer,3,2.9,10,0,143487.51
EMP0052,59,35,Master,DevOps,2,3.3,5,1,185391.89
EMP0053,32,12,Master,ML Engineer,3,3.9,7,0,116180.61
EMP0054,41,20,Bachelor,Software Engineer,1,2.1,9,0,134335.71
EMP0055,51,28,Bachelor,QA Engineer,3,3.2,8,0,155861.53
EMP0056,28,5,Bachelor,Software Engineer,3,3.6,2,0,87881.25
EMP0057,29,6,Bachelor,DevOps,3,3.6,10,1,106417.23
EMP0058,54,31,PhD,Software Engineer,3,4.6,9,1,176597.25
EMP0059,37,15,PhD,QA Engineer,1,2.8,3,1,132752.02
EMP0060,56,36,Bachelor,Software Engineer,1,3.1,4,0,188801.65
EMP0061,26,3,PhD,Product Manager,3,3.4,2,0,84177.27
EMP0062,200,39,PhD,DevOps,1,4.8,6,1,211753.19
EMP0063,48,24,Bachelor,DevOps,1,2.8,9,0,151245.01
EMP0064,47,26,PhD,Software Engineer,3,3.6,8,0,158823.64
EMP0065,27,4,Bachelor,DevOps,1,2.2,8,1,98849.03
EMP0066,46,24,PhD,Product Manager,1,3.4,10,0,170056.03
EMP0067,44,23,High School,QA Engineer,1,4.3,5,0,156414.14
EMP0068,37,16,PhD,QA Engineer,1,3.7,5,1,138278.85
EMP0069,38,16,Bachelor,ML Engineer,3,4.9,3,0,124666.51
EMP0070,23,1,PhD,DevOps,3,2.6,11,0,82179.35
EMP0071,28,6,High School,ML Engineer,1,3,8,1,109892.94
EMP0072,22,0,PhD,Data Analyst,2,4.9,12,1,108225.29
EMP0073,31,8,Bachelor,QA Engineer,3,4.9,6,1,99704.1
EMP0074,59,37,Master,Software Engineer,1,2.8,9,0,196836.9
EMP0075,51,27,PhD,Product Manager,1,3.5,7,0,168266.66
EMP0076,38,16,Master,ML Engineer,3,4.6,10,0,132692.64
EMP0077,55,34,High School,Software Engineer,3,3.2,10,0,165548.72
EMP0078,53,30,High School,Data Analyst,2,2.7,5,1,153082.83
EMP0079,59,37,PhD,ML Engineer,3,3,10,1,184974.14
EMP0080,41,19,Bachelor,Data Analyst,3,2.6,3,0,120929.06
EMP0081,34,13,PhD,Product Manager,3,3.8,10,1,132706.51
EMP0082,40,19,Master,Software Engineer,2,2,10,0,132276.16
EMP0083,39,19,High School,ML Engineer,2,4.1,4,1,135352.34
EMP0084,40,17,PhD,DevOps,2,2.6,2,1,127977.6
EMP0085,52,32,High School,DevOps,2,2.2,12,0,170678.33
EMP0086,41,21,Bachelor,Data Analyst,3,4.3,11,0,148754.62
EMP0087,55,32,PhD,DevOps,2,4.6,8,1,187519.15
EMP0088,28,7,Bachelor,Product Manager,3,2.2,5,0,83210.7
EMP0089,57,37,Bachelor,Data Analyst,2,3.4,11,1,192455.93
EMP0090,-40,17,High School,QA Engineer,1,4.8,12,0,150855.61
EMP0091,49,29,Bachelor,QA Engineer,1,4.7,4,0,181803
EMP0092,60,36,Master,DevOps,1,3.4,6,1,197996.96
EMP0093,39,15,PhD,DevOps,1,3.8,8,1,143671.92
EMP0094,36,12,High School,QA Engineer,2,3.7,4,1,112294.61
EMP0095,55,32,Master,Software Engineer,3,3.3,9,0,164174.4
EMP0096,42,22,Bachelor,Product Manager,2,4.1,6,1,150167.65
EMP0097,57,37,PhD,Data Analyst,2,2.8,3,1,190935.12
EMP0098,22,0,PhD,DevOps,1,2.6,7,1,88395.86
EMP0099,50,30,Bachelor,Product Manager,3,2.4,6,1,156974.49
EMP0100,23,0,Bachelor,QA Engineer,1,2.9,2,1,80664.76
EMP0101,27,6,High School,DevOps,1,3.9,4,1,108280.1
EMP0102,39,16,PhD,DevOps,1,3.4,4,1,138635.37
EMP0103,34,10,Bachelor,Data Analyst,2,4.3,8,1,123761.67
EMP0104,22,0,Master,ML Engineer,3,5,9,0,86888.03
EMP0105,50,26,PhD,Product Manager,2,3.7,10,1,165612.94
EMP0106,34,13,PhD,Software Engineer,2,2.1,9,1,122776.09
EMP0107,46,25,PhD,Data Analyst,1,3.5,11,1,179764.22
EMP0108,50,30,PhD,Data Analyst,3,2.4,12,0,157852.31
EMP0109,26,3,Master,Product Manager,3,4.1,12,0,100068.61
EMP0110,56,33,Master,QA Engineer,3,4.7,9,0,173121.84
EMP0111,26,5,Master,Software Engineer,3,2.3,3,0,73625.66
EMP0112,23,3,Master,Data Analyst,2,3.1,8,0,94733.21
EMP0113,37,13,PhD,ML Engineer,3,4.4,4,0,125716.95
EMP0114,37,14,Bachelor,Software Engineer,2,3.9,9,1,133252.71
EMP0115,22,0,Master,QA Engineer,3,2.5,9,1,80162.53
EMP0116,49,27,PhD,Product Manager,1,5,9,0,183138.59
EMP0117,37,14,Master,ML Engineer,2,5,6,0,138205.19
EMP0118,39,19,High School,ML Engineer,3,3.5,6,0,121840.33
EMP0119,60,38,Bachelor,QA Engineer,1,3.9,12,0,199210.89
EMP0120,24,2,PhD,Data Analyst,3,3.1,4,0,73761.3
EMP0121,40,18,PhD,Software Engineer,1,2.4,10,1,138115.97
EMP0122,32,10,PhD,Product Manager,3,4.6,3,1,111495.18
EMP0123,26,5,Bachelor,QA Engineer,3,4,8,1,98979.37
EMP0124,38,14,High School,DevOps,2,4,12,1,132003.65
EMP0125,59,36,Master,Data Analyst,3,2.7,2,1,172837.91
EMP0126,26,3,Master,QA Engineer,2,2.4,2,0,79763.51
EMP0127,41,18,High School,Data Analyst,1,4.7,4,1,137940.8
EMP0128,56,33,Bachelor,DevOps,3,2.3,9,1,166711.56
EMP0129,39,19,Master,Software Engineer,2,3.3,5,1,142937.85
EMP0130,56,34,High School,DevOps,2,2.6,3,1,170207.06
EMP0131,27,6,High School,Data Analyst,2,2.7,4,0,93236.08
EMP0132,35,11,Bachelor,Software Engineer,2,4.3,11,0,125645.23
EMP0133,39,18,Bachelor,ML Engineer,2,4.4,3,0,135947.69
EMP0134,37,13,Master,Data Analyst,1,2.8,4,1,127775.37
EMP0135,55,35,High School,DevOps,2,4.3,10,0,182346.78
EMP0136,24,0,Master,DevOps,3,4.9,2,1,83640.82
EMP0137,47,24,High School,DevOps,3,4.7,3,0,139257.76
EMP0138,30,8,Master,DevOps,3,3.6,9,1,107837.99
EMP0139,28,8,Bachelor,DevOps,2,4.7,8,1,118086.14
EMP0140,28,6,PhD,Product Manager,3,2.8,4,1,88833.32
EMP0141,26,6,High School,Data Analyst,2,2.3,7,0,83264.27
EMP0142,57,33,Master,QA Engineer,1,3.2,12,1,191156.37
EMP0143,25,3,Master,Product Manager,1,3.7,5,0,99023.59
EMP0144,28,6,Master,Data Analyst,2,3.7,8,0,102225.06
EMP0145,60,38,High School,Software Engineer,2,4.1,6,1,188949.25
EMP0146,31,7,PhD,Data Analyst,1,4.2,2,0,116237.91
EMP0147,55,34,PhD,DevOps,2,3,7,1,182370.15
EMP0148,58,34,High School,Data Analyst,1,2.5,11,0,173832.19
EMP0149,27,5,PhD,QA Engineer,2,3.5,9,1,106826.98
EMP0150,29,7,PhD,Data Analyst,2,4,11,1,125437.3
EMP0151,55,33,High School,Software Engineer,2,5,2,0,176774.08
EMP0152,30,8,Master,Product Manager,1,2,8,0,117251.05
EMP0153,30,7,Bachelor,ML Engineer,3,4.5,7,0,94744.97
EMP0154,49,29,PhD,Data Analyst,2,3.7,11,1,182567.77
EMP0155,48,26,High School,DevOps,1,4.9,4,1,171678.46
EMP0156,27,4,High School,Software Engineer,2,3.8,10,0,87432.07
EMP0157,47,25,Master,Software Engineer,2,4.3,3,0,152822.07
EMP0158,44,22,Bachelor,Software Engineer,1,2.4,5,0,142498.07
EMP0159,60,39,High School,Software Engineer,3,3.5,11,1,184182.02
EMP0160,42,20,Bachelor,DevOps,1,3.4,12,1,147291.84
EMP0161,39,15,High School,Product Manager,3,2.2,9,1,113980.19
EMP0162,40,20,High School,ML Engineer,3,3.5,9,0,129948.2
EMP0163,50,26,Bachelor,Product Manager,3,3.4,4,0,136048.83
EMP0164,43,23,Bachelor,Data Analyst,1,4.1,9,0,163033.34
EMP0165,45,23,Master,DevOps,2,4.3,12,0,162008.96
EMP0166,26,4,High School,ML Engineer,3,3.2,6,0,73249.67
EMP0167,43,23,Bachelor,Product Manager,2,4.9,12,1,168531.5
EMP0168,27,5,PhD,QA Engineer,2,4.4,12,0,118352.11
EMP0169,49,25,Master,Data Analyst,2,2.9,5,1,156769.37
EMP0170,36,15,Bachelor,Data Analyst,2,4.5,3,0,124109.19
EMP0171,43,19,Bachelor,ML Engineer,2,2.5,4,0,125784.69
EMP0172,45,24,PhD,ML Engineer,2,4.3,9,0,161623.88
EMP0173,56,35,Master,DevOps,1,3.1,11,1,193639.5
EMP0174,46,22,PhD,Software Engineer,1,4.4,4,1,163576.01
EMP0175,25,2,Master,ML Engineer,1,4.1,10,0,104716.47
EMP0176,39,16,Bachelor,DevOps,1,4.8,5,1,150224.59
EMP0177,44,24,PhD,Data Analyst,2,3.5,5,1,160075.29
EMP0178,23,1,High School,QA Engineer,3,3,4,0,66716.64
EMP0179,24,2,PhD,QA Engineer,1,4.3,9,1,105689.9
EMP0180,23,1,Bachelor,Software Engineer,3,4.8,11,1,87035.21
EMP0181,29,7,Bachelor,Product Manager,1,2.1,8,1,112829.63
EMP0182,53,29,High School,QA Engineer,3,3.7,4,1,155377.67
EMP0183,49,29,Master,Software Engineer,3,3.2,12,0,159058.07
EMP0184,55,31,High School,DevOps,2,2.1,8,1,160693.81
EMP0185,38,18,Master,Data Analyst,2,2.7,12,0,137878.25
EMP0186,43,22,High School,Product Manager,3,3,12,0,128788.72
EMP0187,51,28,Bachelor,Software Engineer,1,4.1,9,0,174477.24
EMP0188,34,14,Master,Product Manager,3,3.2,10,1,122552.93
EMP0189,38,18,Bachelor,Product Manager,2,4.6,2,1,135357.91
EMP0190,49,26,PhD,DevOps,2,4.9,9,1,182093.03
EMP0191,45,21,Master,Data Analyst,3,3.3,8,0,132821.64
EMP0192,27,5,Master,Product Manager,2,3.8,8,0,101407.57
EMP0193,50,28,PhD,Data Analyst,3,4.6,7,1,166680.3
EMP0194,25,5,PhD,Product Manager,3,4.4,12,0,116857.62
EMP0195,23,2,PhD,Data Analyst,1,2.2,12,1,96868.86
EMP0196,24,0,Bachelor,QA Engineer,2,4.8,7,1,100645.86
EMP0197,26,2,Bachelor,ML Engineer,2,3.2,12,1,95204.79
EMP0198,33,10,PhD,ML Engineer,1,2.8,6,1,123962.98
EMP0199,35,11,Master,QA Engineer,2,2.6,4,0,99026.28
EMP0200,50,30,Master,QA Engineer,2,4.1,10,1,182140.3
EMP0201,41,20,Bachelor,Product Manager,3,2.7,5,0,123588.67
EMP0202,45,21,Master,DevOps,3,2.4,3,0,129452.88
EMP0203,41,18,PhD,ML Engineer,2,4.3,11,0,150864.91
EMP0204,26,3,PhD,QA Engineer,3,3,10,0,91875.05
EMP0205,30,7,High School,Data Analyst,3,2.5,4,0,77877.98
EMP0206,44,20,Master,Data Analyst,2,2.6,10,1,148243.96
EMP0207,30,8,High School,ML Engineer,3,2.5,11,0,94509.97
EMP0208,60,38,High School,Data Analyst,1,2.1,12,1,198576.12
EMP0209,35,11,PhD,ML Engineer,3,2.1,12,1,109668.98
EMP0210,37,14,Master,DevOps,1,4.1,4,1,132960.26
EMP0211,48,25,PhD,Software Engineer,2,3.8,7,1,162412.73
EMP0212,47,26,Master,ML Engineer,3,2.3,5,1,135695.95
EMP0213,29,7,PhD,Software Engineer,1,2.3,6,1,113336.44
EMP0214,32,10,Master,Software Engineer,1,3.5,10,1,124863.05
EMP0215,53,31,PhD,Data Analyst,1,4.8,10,1,200323.5
EMP0216,44,24,High School,Product Manager,2,3.8,12,1,156071.46
EMP0217,40,16,High School,Data Analyst,2,2.4,6,1,118982.02
EMP0218,47,27,Bachelor,Product Manager,3,2.9,8,1,146796.16
EMP0219,57,35,High School,Software Engineer,1,3.2,7,1,185933.13
EMP0220,54,31,High School,Data Analyst,1,2.4,7,1,167186.16
EMP0221,55,32,Bachelor,ML Engineer,3,2.4,11,1,171586.31
EMP0222,41,17,Master,ML Engineer,3,3.6,11,1,143821.81
EMP0223,52,32,Master,Product Manager,3,2.3,8,1,165861.98
EMP0224,23,0,PhD,Product Manager,3,4.3,11,0,83845.14
EMP0225,25,1,PhD,Software Engineer,3,3.9,11,1,97020.8
EMP0226,24,0,High School,Software Engineer,1,3.3,8,0,91489.89
EMP0227,48,27,PhD,ML Engineer,3,4.8,2,0,152703.46
EMP0228,52,28,PhD,Product Manager,1,3.4,10,1,180198.95
EMP0229,56,34,Master,ML Engineer,2,2.6,5,1,173133.04
EMP0230,41,19,Bachelor,QA Engineer,3,3.5,9,1,131980.99
EMP0231,57,35,Master,Data Analyst,3,4,8,1,186743.57
EMP0232,31,9,High School,Product Manager,3,2.2,9,1,84406.28
EMP0233,52,31,Bachelor,ML Engineer,2,4.8,6,0,180885.58
EMP0234,37,16,High School,QA Engineer,3,2.7,5,0,112415.7
EMP0235,28,5,Master,QA Engineer,2,2.3,4,0,99372.25
EMP0236,32,9,PhD,DevOps,3,2.6,6,1,99557.89
EMP0237,40,20,High School,QA Engineer,3,2.7,2,0,109216.05
EMP0238,24,1,PhD,Software Engineer,3,4.9,6,0,94162.7
EMP0239,22,0,High School,Product Manager,2,3.4,12,1,88698.2
EMP0240,54,31,Master,Software Engineer,1,3,9,1,181223.53
EMP0241,33,13,Master,Product Manager,3,4,5,0,110023.91
EMP0242,47,24,Master,Data Analyst,2,4,4,0,148335.36
EMP0243,52,30,Bachelor,Data Analyst,2,3.2,9,1,173251.09
EMP0244,58,38,Master,QA Engineer,2,4.1,2,0,188434.05
EMP0245,51,29,Bachelor,DevOps,3,3.5,6,0,148281.34
EMP0246,45,21,Bachelor,Software Engineer,1,3.4,9,1,146724.57
EMP0247,48,24,PhD,ML Engineer,3,4.5,5,0,146360.12
EMP0248,45,25,High School,Data Analyst,3,4.7,5,0,144667.64
EMP0249,32,10,PhD,Data Analyst,3,2.6,11,1,114820.96
EMP0250,25,2,Bachelor,ML Engineer,2,3.4,2,1,86985.27
EMP0251,41,21,PhD,Product Manager,1,4.2,11,0,167728.67
EMP0252,26,2,High School,Data Analyst,2,2.1,8,0,78082.14
EMP0253,30,7,Master,DevOps,2,4.6,8,1,124835.74
EMP0254,56,35,Master,Data Analyst,1,5,8,0,206585.94
EMP0255,36,16,High School,Product Manager,2,4,10,1,125751.16
EMP0256,37,14,Master,Software Engineer,2,2.6,3,0,112915.55
EMP0257,48,24,High School,Software Engineer,1,2.2,11,0,145212.24
EMP0258,25,4,High School,DevOps,2,2.7,5,0,84622.24
EMP0259,30,6,Master,Software Engineer,3,3.7,11,1,103872.09
EMP0260,55,34,PhD,Product Manager,2,2.2,11,0,188749.49
EMP0261,49,25,PhD,Data Analyst,2,4.8,12,1,175981.77
EMP0262,48,25,Bachelor,Product Manager,2,2.6,10,1,150183.78
EMP0263,37,16,Master,QA Engineer,1,4.4,2,1,145602.09
EMP0264,30,7,Bachelor,Product Manager,1,3,3,1,104173.49
EMP0265,45,25,Bachelor,Data Analyst,2,3.1,11,0,156610.38
EMP0266,59,35,Bachelor,DevOps,1,4.6,7,1,196157.96
EMP0267,22,1,Bachelor,QA Engineer,1,4.2,9,0,97709.55
EMP0268,47,26,Master,Product Manager,2,3.4,12,1,160721.08
EMP0269,41,19,Master,ML Engineer,2,3.4,9,1,146705.41
EMP0270,48,28,Bachelor,QA Engineer,1,2,10,1,164426.37
EMP0271,40,19,Bachelor,Product Manager,1,3.1,5,1,132693.17
EMP0272,43,21,PhD,QA Engineer,3,4.2,9,0,142800.31
EMP0273,44,23,Bachelor,QA Engineer,3,3.5,10,0,134840.66
EMP0274,26,6,High School,DevOps,1,4.5,5,0,105904.06
EMP0275,31,11,Bachelor,ML Engineer,2,3.1,11,1,118215.61
EMP0276,56,32,PhD,Data Analyst,1,3.6,6,1,187800.28
EMP0277,23,0,PhD,Software Engineer,1,4.8,10,0,108115.49
EMP0278,38,16,Master,DevOps,1,3.1,8,1,145553.8
EMP0279,58,37,Bachelor,Product Manager,3,4.5,3,0,182451.37
EMP0280,57,34,High School,QA Engineer,1,4.1,3,1,185815.13
EMP0281,49,27,High School,ML Engineer,1,2.7,11,1,164049.4
EMP0282,39,15,High School,Software Engineer,2,2,5,0,118255.02
EMP0283,47,27,Master,Software Engineer,3,2.7,8,1,147508.5
EMP0284,27,3,Master,Data Analyst,1,3.3,3,1,103175.87
EMP0285,60,36,PhD,Product Manager,1,3.9,9,1,205695.1
EMP0286,46,23,Bachelor,QA Engineer,3,4,3,1,145028.5
EMP0287,37,17,High School,Product Manager,1,3.1,12,0,137623.27
EMP0288,28,8,High School,Product Manager,2,3.1,6,0,93966.63
EMP0289,30,10,Bachelor,DevOps,2,3.7,10,1,119580.94
EMP0290,57,37,Master,DevOps,1,2.9,8,0,195647.64
EMP0291,57,36,Bachelor,QA Engineer,2,2.5,6,1,178740.73
EMP0292,32,9,Master,DevOps,2,3.5,3,1,111031.75
EMP0293,38,17,PhD,ML Engineer,3,2.6,3,0,114516.05
EMP0294,43,19,PhD,Product Manager,2,3,12,0,153783.4
EMP0295,41,19,Bachelor,DevOps,2,2.5,8,1,132212.84
EMP0296,53,29,Bachelor,Product Manager,2,2.8,8,1,169556.06
EMP0297,29,5,Bachelor,ML Engineer,3,2.5,10,0,90258.67
EMP0298,35,12,Master,QA Engineer,1,4.5,8,1,135904.63
EMP0299,30,8,Bachelor,Product Manager,3,2.5,8,1,105937.15
EMP0300,52,28,PhD,ML Engineer,3,4.8,8,0,173283.47
EMP0301,45,21,High School,Data Analyst,1,4,7,0,147724.01
EMP0302,47,25,PhD,Data Analyst,1,2.3,5,0,155839.38
EMP0303,50,28,PhD,DevOps,3,3.8,10,0,163698.72
EMP0304,28,6,PhD,Data Analyst,1,4.5,4,1,119337.93
EMP0305,41,19,PhD,Software Engineer,3,3.4,9,0,129681.23
EMP0306,42,22,Master,Data Analyst,3,2.3,7,0,134140.81
EMP0307,32,11,Bachelor,ML Engineer,1,3,8,1,122863.72
EMP0308,33,12,PhD,DevOps,1,4.2,5,1,138849.9
EMP0309,59,36,PhD,Data Analyst,3,2.6,6,0,168259.36
EMP0310,56,35,Master,Product Manager,1,3.4,6,1,189250.56
EMP0311,55,33,PhD,ML Engineer,2,3.8,7,1,188731.37
EMP0312,41,17,High School,QA Engineer,1,2.9,5,1,126674.42
EMP0313,29,8,Master,QA Engineer,1,3.5,8,0,113259.77
EMP0314,53,29,Bachelor,ML Engineer,1,3.5,4,0,166099.99
EMP0315,42,19,High School,Product Manager,1,3.5,5,1,145074.59
EMP0316,53,30,PhD,DevOps,3,4.5,9,0,171730.5
EMP0317,27,3,High School,Software Engineer,2,2.1,5,1,81424.09
EMP0318,53,29,High School,ML Engineer,1,2.8,10,1,174101.35
EMP0319,56,36,PhD,ML Engineer,1,5,3,0,196892.07
EMP0320,50,28,Master,Data Analyst,2,4.6,3,0,180185.09
EMP0321,35,11,Master,QA Engineer,3,3.9,4,0,108592.43
EMP0322,25,1,Master,ML Engineer,2,3.8,4,1,82244.05
EMP0323,40,18,Master,ML Engineer,3,4.4,4,1,143516.08
EMP0324,30,9,Bachelor,Software Engineer,3,3,5,1,91088.39
EMP0325,53,32,Master,QA Engineer,2,3.1,3,0,162343.89
EMP0326,45,22,PhD,Product Manager,3,2,3,1,135016.68
EMP0327,44,24,PhD,Software Engineer,2,4.5,9,1,165556.06
EMP0328,57,33,Bachelor,ML Engineer,2,4.4,12,0,189130.4
EMP0329,24,4,PhD,Data Analyst,1,4.8,4,1,102855.81
EMP0330,49,28,Bachelor,QA Engineer,2,2.5,6,0,156946.9
EMP0331,45,23,High School,Product Manager,3,4.7,4,0,135933.58
EMP0332,36,13,High School,QA Engineer,1,2,9,0,118520.63
EMP0333,30,6,Bachelor,ML Engineer,3,3.3,2,1,91876.15
EMP0334,49,28,PhD,Data Analyst,1,3.1,3,0,156729.39
EMP0335,42,20,Master,Software Engineer,2,4.3,4,0,147280.55
EMP0336,32,9,Master,QA Engineer,1,3.9,4,1,122545.71
EMP0337,50,29,High School,Data Analyst,1,4.3,11,1,177926.5
EMP0338,30,9,Master,QA Engineer,1,2.7,11,1,125003.74
EMP0339,23,1,Bachelor,ML Engineer,3,3.5,8,1,77149.99
EMP0340,37,14,PhD,Data Analyst,1,3.5,11,0,134836.97
EMP0341,55,35,Master,Product Manager,1,3.2,11,1,193378.83
EMP0342,52,32,High School,ML Engineer,1,2,5,0,169387.36
EMP0343,25,2,Master,QA Engineer,3,3.5,8,1,86705.28
EMP0344,56,32,Bachelor,Product Manager,1,2.9,10,0,178416.33
EMP0345,31,7,Master,DevOps,3,3.9,12,0,103816.21
EMP0346,37,17,Bachelor,Data Analyst,2,2.3,11,0,131587.79
EMP0347,41,20,High School,Data Analyst,3,2.4,2,0,110359.97
EMP0348,55,33,Bachelor,Product Manager,1,4.2,6,0,185883.18
EMP0349,23,1,PhD,Product Manager,3,2.2,11,0,75418.27
EMP0350,25,2,Bachelor,Product Manager,1,2.8,3,0,87115.77
EMP0351,36,12,High School,Data Analyst,1,2.7,9,1,119158.15
EMP0352,24,0,PhD,Software Engineer,2,2.7,7,1,88130.17
EMP0353,26,2,Master,Data Analyst,3,4,2,0,80807.8
EMP0354,24,1,High School,DevOps,2,4.3,6,1,92799.1
EMP0355,27,3,PhD,Data Analyst,2,2.6,11,1,99004.85
EMP0356,45,21,PhD,Software Engineer,3,4.7,5,0,141024.62
EMP0357,22,0,High School,Software Engineer,3,3,2,1,70503.74
EMP0358,41,21,Bachelor,ML Engineer,1,3.3,2,0,142053.78
EMP0359,39,19,High School,Software Engineer,3,3.2,7,1,126713.5
EMP0360,28,4,Bachelor,QA Engineer,2,2.2,11,0,90331.76
EMP0361,49,28,Bachelor,Product Manager,2,4.6,8,1,170278.36
EMP0362,26,5,Bachelor,ML Engineer,1,2.5,4,1,100699.98
EMP0363,51,29,PhD,Data Analyst,3,3.1,5,1,158675.59
EMP0364,29,9,Bachelor,QA Engineer,2,4.5,11,0,121330.59
EMP0365,35,13,Bachelor,Data Analyst,3,2.7,7,1,103006.39
EMP0366,38,17,High School,DevOps,2,3.7,10,0,130541.91
EMP0367,28,5,High School,Software Engineer,1,2,5,0,90545.63
EMP0368,27,3,Master,Data Analyst,1,5,5,1,115233.9
EMP0369,30,10,Master,Data Analyst,1,4.8,2,0,126986.95
EMP0370,47,24,High School,DevOps,3,3.3,7,0,134694.36
EMP0371,33,11,Master,DevOps,1,2.1,11,0,117771.52
EMP0372,57,34,High School,Data Analyst,2,3.1,8,0,168893.73
EMP0373,55,34,High School,DevOps,3,3.1,10,1,167172.4
EMP0374,42,19,Master,Software Engineer,1,3,5,0,145490.04
EMP0375,39,19,PhD,ML Engineer,2,4.3,5,0,148730.24
EMP0376,39,15,High School,Software Engineer,3,4.5,8,1,126292.82
EMP0377,33,12,Bachelor,ML Engineer,2,4.4,7,0,120326.33
EMP0378,58,34,Bachelor,ML Engineer,1,4.5,9,1,193434.16
EMP0379,33,10,High School,Data Analyst,1,2.7,5,0,107304.12
EMP0380,34,13,Master,QA Engineer,1,4.8,7,0,137575.53
EMP0381,23,2,Bachelor,Data Analyst,3,4.6,3,1,83139.57
EMP0382,59,39,Master,Product Manager,2,2.4,4,1,181746.07
EMP0383,53,31,Bachelor,QA Engineer,3,4.1,11,1,173492.69
EMP0384,33,10,Master,QA Engineer,3,2.9,4,0,103458.56
EMP0385,58,35,High School,Software Engineer,3,3,11,0,169251.22
EMP0386,53,32,Master,QA Engineer,1,2.7,7,0,176757.45
EMP0387,27,5,PhD,Data Analyst,2,2.6,3,1,95120.01
EMP0388,22,2,PhD,DevOps,3,3.3,4,1,86111.05
EMP0389,53,30,Master,ML Engineer,2,2.3,9,0,165416.55
EMP0390,24,2,High School,Product Manager,2,4.9,3,1,92185.44
EMP0391,32,9,Bachelor,QA Engineer,1,3.6,3,1,109818.6
EMP0392,52,32,PhD,QA Engineer,1,3.8,8,0,185927.11
EMP0393,25,5,Master,Software Engineer,1,3.2,10,1,110409.86
